id,title,book,chapter,verse
0,Gen.1.1,Genesis,1,1
1,Ps.136.5,Psalms,136,5
2,Jer.32.17,Jeremiah,32,17
3,Ps.33.9,Psalms,33,9
4,Jer.10.12,Jeremiah,10,12
5,Ps.8.3,Psalms,8,3
6,Neh.9.6,Nehemiah,9,6
7,Isa.45.18,Isaiah,45,18
8,Rev.10.6,Revelation,10,6
9,Isa.51.16,Isaiah,51,16
10,Isa.40.28,Isaiah,40,28
11,Ps.146.6,Psalms,146,6
12,Isa.40.26,Isaiah,40,26
13,Ps.104.24,Psalms,104,24
14,1Chr.16.26,1 Chronicles,16,26
15,Ps.124.8,Psalms,124,8
16,Ps.90.2,Psalms,90,2
17,Job.38.4,Job,38,4
18,Isa.42.5,Isaiah,42,5
19,2Pet.3.5,2 Peter,3,5
20,Acts.14.15,Acts,14,15
21,Heb.3.4,Hebrews,3,4
22,Acts.4.24,Acts,4,24
23,Heb.11.3,Hebrews,11,3
24,Rev.4.11,Revelation,4,11
25,Prov.8.22,Proverbs,8,22
26,Prov.8.23,Proverbs,8,23
27,Prov.8.24,Proverbs,8,24
28,Prov.8.25,Proverbs,8,25
29,Prov.8.26,Proverbs,8,26
30,Prov.8.27,Proverbs,8,27
31,Prov.8.28,Proverbs,8,28
32,Prov.8.29,Proverbs,8,29
33,Prov.8.30,Proverbs,8,30
34,Ps.104.30,Psalms,104,30
35,Isa.65.17,Isaiah,65,17
36,Rev.22.13,Revelation,22,13
37,1John.1.1,1 John,1,1
38,Ps.96.5,Psalms,96,5
39,Prov.3.19,Proverbs,3,19
40,Ps.134.3,Psalms,134,3
41,Rev.21.6,Revelation,21,6
42,Exod.31.18,Exodus,31,18
43,Rev.14.7,Revelation,14,7
44,Zech.12.1,Zechariah,12,1
45,Rom.1.19,Romans,1,19
46,Rom.1.20,Romans,1,20
47,1Cor.8.6,1 Corinthians,8,6
48,Job.26.13,Job,26,13
49,Ps.102.25,Psalms,102,25
50,Ps.89.11,Psalms,89,11
51,Ps.89.12,Psalms,89,12
52,Isa.37.16,Isaiah,37,16
53,Ps.33.6,Psalms,33,6
54,Ps.121.2,Psalms,121,2
55,Eph.3.9,Ephesians,3,9
56,Heb.1.2,Hebrews,1,2
57,Prov.16.4,Proverbs,16,4
58,Col.1.16,Colossians,1,16
59,Col.1.17,Colossians,1,17
60,Exod.20.11,Exodus,20,11
61,John.1.1,John,1,1
62,John.1.2,John,1,2
63,John.1.3,John,1,3
64,Mark.13.19,Mark,13,19
65,Isa.44.24,Isaiah,44,24
66,Heb.1.10,Hebrews,1,10
67,Ps.148.4,Psalms,148,4
68,Ps.148.5,Psalms,148,5
69,Acts.17.24,Acts,17,24
70,Rom.11.36,Romans,11,36
